Treatment,Test,Species,Canker.Area
University Park Control,Eco,Beech,23.5619449
University Park Control,Eco,Beech,75.39822369
Erie,Eco,American,75.39822369
Erie,Eco,American,19.63495408
Erie,Eco,American,82.46680716
Erie,Eco,American,134.3030859
Erie,Eco,American,155.5088364
Erie,Eco,American,141.3716694
Erie Control,Eco,American,23.5619449
Erie Control,Eco,American,42.41150082
Erie Control,Eco,American,23.5619449
Erie Control,Eco,American,19.63495408
Erie Control,Eco,American,19.63495408
Erie Control,Eco,American,112.3119374
Maryland,Eco,American,438.2521752
Maryland,Eco,American,671.5154297
Maryland,Eco,American,520.7189823
Maryland,Eco,American,120.165919
Maryland,Eco,American,196.3495408
Maryland,Eco,American,148.4402529
Maryland Control,Eco,American,353.4291735
Maryland Control,Eco,American,19.63495408
Maryland Control,Eco,American,23.5619449
Maryland Control,Eco,American,19.63495408
Maryland Control,Eco,American,82.46680716
Maryland Control,Eco,American,28.27433388
University Park,Eco,American,87.9645943
University Park,Eco,American,502.6548246
University Park,Eco,American,113.0973355
University Park,Eco,American,76.96902001
University Park,Eco,American,274.8893572
University Park,Eco,American,71.47123287
University Park Control,Eco,American,42.41150082
University Park Control,Eco,American,19.63495408
University Park Control,Eco,American,28.27433388
University Park Control,Eco,American,19.63495408
University Park Control,Eco,American,28.27433388
University Park Control,Eco,American,47.1238898
Erie,Eco,Chinese,32.98672286
Erie,Eco,Chinese,54.97787144
Erie,Eco,Chinese,37.69911184
Erie,Eco,Chinese,650.3096793
Erie,Eco,Chinese,56.54866776
Erie,Eco,Chinese,862.3671834
Erie Control,Eco,Chinese,
Erie Control,Eco,Chinese,27.48893572
Erie Control,Eco,Chinese,32.98672286
Erie Control,Eco,Chinese,32.98672286
Erie Control,Eco,Chinese,28.27433388
Erie Control,Eco,Chinese,138.2300768
Maryland,Eco,Chinese,43.98229715
Maryland,Eco,Chinese,395.8406744
Maryland,Eco,Chinese,65.97344573
Maryland,Eco,Chinese,
Maryland,Eco,Chinese,357.3561643
Maryland,Eco,Chinese,70.68583471
Maryland Control,Eco,Chinese,61.26105675
Maryland Control,Eco,Chinese,37.69911184
Maryland Control,Eco,Chinese,106.0287521
Maryland Control,Eco,Chinese,28.27433388
Maryland Control,Eco,Chinese,38.48451001
Maryland Control,Eco,Chinese,23.5619449
University Park,Eco,Chinese,106.0287521
University Park,Eco,Chinese,38.48451001
University Park,Eco,Chinese,65.97344573
University Park,Eco,Chinese,37.69911184
University Park,Eco,Chinese,37.69911184
University Park,Eco,Chinese,115.45353
University Park Control,Eco,Chinese,28.27433388
